Date,County,Cases
4/13/20,Barnstable,502
4/13/20,Berkshire,355
4/13/20,Bristol,1394
4/13/20,Dukes,12
4/13/20,Essex,3413
4/13/20,Franklin,148
4/13/20,Hampden,1694
4/13/20,Hampshire,224
4/13/20,Middlesex,5983
4/13/20,Nantucket,9
4/13/20,Norfolk,2838
4/13/20,Plymouth,2141
4/13/20,Suffolk,5579
4/13/20,Worcester,2128
4/13/20,Unknown,447
4/14/20,Barnstable,514
4/14/20,Berkshire,360
4/14/20,Bristol,1435
4/14/20,Dukes,11
4/14/20,Essex,3594
4/14/20,Franklin,155
4/14/20,Hampden,1798
4/14/20,Hampshire,233
4/14/20,Middlesex,6254
4/14/20,Nantucket,9
4/14/20,Norfolk,2969
4/14/20,Plymouth,2207
4/14/20,Suffolk,5872
4/14/20,Worcester,2246
4/14/20,Unknown,506
4/15/20,Barnstable,530
4/15/20,Berkshire,370
4/15/20,Bristol,1508
4/15/20,Dukes,11
4/15/20,Essex,3894
4/15/20,Franklin,160
4/15/20,Hampden,1885
4/15/20,Hampshire,239
4/15/20,Middlesex,6681
4/15/20,Nantucket,9
4/15/20,Norfolk,3122
4/15/20,Plymouth,2308
4/15/20,Suffolk,6279
4/15/20,Worcester,2350
4/15/20,Unknown,572
4/16/20,Barnstable,550
4/16/20,Berkshire,382
4/16/20,Bristol,1605
4/16/20,Dukes,12
4/16/20,Essex,4245
4/16/20,Franklin,170
4/16/20,Hampden,1985
4/16/20,Hampshire,248
4/16/20,Middlesex,7206
4/16/20,Nantucket,9
4/16/20,Norfolk,3342
4/16/20,Plymouth,2466
4/16/20,Suffolk,6820
4/16/20,Worcester,2503
4/16/20,Unknown,638
4/17/20,Barnstable,573
4/17/20,Berkshire,383
4/17/20,Bristol,1659
4/17/20,Dukes,12
4/17/20,Essex,4584
4/17/20,Franklin,173
4/17/20,Hampden,2134
4/17/20,Hampshire,258
4/17/20,Middlesex,7744
4/17/20,Nantucket,9
4/17/20,Norfolk,3499
4/17/20,Plymouth,2577
4/17/20,Suffolk,7272
4/17/20,Worcester,2765
4/17/20,Unknown,760
4/18/20,Barnstable,590
4/18/20,Berkshire,385
4/18/20,Bristol,1698
4/18/20,Dukes,14
4/18/20,Essex,4914
4/18/20,Franklin,177
4/18/20,Hampden,2254
4/18/20,Hampshire,306
4/18/20,Middlesex,8297
4/18/20,Nantucket,9
4/18/20,Norfolk,3659
4/18/20,Plymouth,2688
4/18/20,Suffolk,7696
4/18/20,Worcester,2952
4/18/20,Unknown,733
4/19/20,Barnstable,632
4/19/20,Berkshire,387
4/19/20,Bristol,1731
4/19/20,Dukes,14
4/19/20,Essex,5153
4/19/20,Franklin,181
4/19/20,Hampden,2337
4/19/20,Hampshire,317
4/19/20,Middlesex,8737
4/19/20,Nantucket,9
4/19/20,Norfolk,3789
4/19/20,Plymouth,2832
4/19/20,Suffolk,8074
4/19/20,Worcester,3069
4/19/20,Unknown,815
4/23/20,Barnstable,708
4/23/20,Berkshire,418
4/23/20,Bristol,2181
4/23/20,Dukes,14
4/23/20,Essex,6219
4/23/20,Franklin,203
4/23/20,Hampden,2836
4/23/20,Hampshire,367
4/23/20,Middlesex,10724
4/23/20,Nantucket,9
4/23/20,Norfolk,4541
4/23/20,Plymouth,3529
4/23/20,Suffolk,9739
4/23/20,Worcester,33798
4/23/20,Unknown,737
